NAME,SAEPOVALL_PT,SAEPOVRTALL_PT,SAEMHI_PT,STABREV,time,state,county
Autauga County,7397,13.5,51868,AL,2013,01,001
Baldwin County,27429,14.2,47539,AL,2013,01,003
Barbour County,6654,28.2,30981,AL,2013,01,005
Bibb County,4689,23.1,39781,AL,2013,01,007
Blount County,9878,17.2,44392,AL,2013,01,009
Bullock County,3123,35.2,25937,AL,2013,01,011
Butler County,5731,28.8,31041,AL,2013,01,013
Calhoun County,24338,21.4,37898,AL,2013,01,015
Chambers County,7578,22.5,33883,AL,2013,01,017
Cherokee County,5199,20.1,37478,AL,2013,01,019
Chilton County,8841,20.3,41348,AL,2013,01,021
Choctaw County,2976,22.4,33581,AL,2013,01,023
Clarke County,6318,25.4,34593,AL,2013,01,025
Clay County,2590,19.6,33344,AL,2013,01,027
Cleburne County,2787,18.9,40407,AL,2013,01,029
Coffee County,9315,18.5,44666,AL,2013,01,031
Colbert County,8794,16.3,40032,AL,2013,01,033
Conecuh County,3900,30.5,27196,AL,2013,01,035
Coosa County,2141,19.9,35175,AL,2013,01,037
Covington County,7156,19.2,35187,AL,2013,01,039
Crenshaw County,3069,22.2,34105,AL,2013,01,041
Cullman County,13076,16.4,40142,AL,2013,01,043
Dale County,9804,20.1,41805,AL,2013,01,045
Dallas County,12975,31.3,27524,AL,2013,01,047
DeKalb County,14044,20.0,36713,AL,2013,01,049
Elmore County,10071,13.4,51650,AL,2013,01,051
Escambia County,9615,27.8,33455,AL,2013,01,053
Etowah County,19938,19.6,38587,AL,2013,01,055
Fayette County,3440,20.7,35661,AL,2013,01,057
Franklin County,7194,23.1,33332,AL,2013,01,059
Geneva County,6224,23.6,35378,AL,2013,01,061
Greene County,3040,35.0,25864,AL,2013,01,063
Hale County,3877,25.7,33597,AL,2013,01,065
Henry County,3102,18.2,41590,AL,2013,01,067
Houston County,18527,18.1,39636,AL,2013,01,069
Jackson County,8863,16.9,37204,AL,2013,01,071
Jefferson County,122167,18.9,45024,AL,2013,01,073
Lamar County,3221,23.0,36475,AL,2013,01,075
Lauderdale County,15526,17.1,43586,AL,2013,01,077
Lawrence County,5798,17.4,40713,AL,2013,01,079
Lee County,29094,19.8,44647,AL,2013,01,081
Limestone County,13621,15.9,50148,AL,2013,01,083
Lowndes County,3919,37.0,29734,AL,2013,01,085
Macon County,6084,33.8,29228,AL,2013,01,087
Madison County,47136,13.9,58258,AL,2013,01,089
Marengo County,6268,31.5,33749,AL,2013,01,091
Marion County,6117,20.8,34162,AL,2013,01,093
Marshall County,16870,18.1,38399,AL,2013,01,095
Mobile County,82625,20.3,42278,AL,2013,01,097
Monroe County,6519,29.7,32696,AL,2013,01,099
Montgomery County,48080,22.1,44013,AL,2013,01,101
Morgan County,20479,17.4,44079,AL,2013,01,103
Perry County,3360,36.4,25461,AL,2013,01,105
Pickens County,4490,23.8,32314,AL,2013,01,107
Pike County,7969,25.3,35944,AL,2013,01,109
Randolph County,5202,23.4,35121,AL,2013,01,111
Russell County,14070,23.9,35762,AL,2013,01,113
St. Clair County,11779,14.0,52437,AL,2013,01,115
Shelby County,16664,8.3,68718,AL,2013,01,117
Sumter County,4756,38.0,24504,AL,2013,01,119
Talladega County,15399,19.8,38505,AL,2013,01,121
