County,Count Estimate,Rate Estimate,Median Household Income,State,Year,State Code,County Code,Id
Autauga County,5034,11.8,36803,AL,1997,01,001,1
Baldwin County,14907,11.1,35438,AL,1997,01,003,2
Barbour County,6119,23.8,25925,AL,1997,01,005,3
Bibb County,3306,17.4,28039,AL,1997,01,007,4
Blount County,6203,13.3,32676,AL,1997,01,009,5
Bullock County,3051,29.2,20401,AL,1997,01,011,6
Butler County,5106,23.4,22813,AL,1997,01,013,7
Calhoun County,18593,16.2,30432,AL,1997,01,015,8
Chambers County,6192,16.8,28093,AL,1997,01,017,9
Cherokee County,3506,15.8,28922,AL,1997,01,019,10
Chilton County,6062,16.3,30539,AL,1997,01,021,11
Choctaw County,3568,22.3,24714,AL,1997,01,023,12
Clarke County,6256,21.8,26898,AL,1997,01,025,13
Clay County,2061,14.8,26809,AL,1997,01,027,14
Cleburne County,2123,14.7,29104,AL,1997,01,029,15
Coffee County,6332,14.9,31316,AL,1997,01,031,16
Colbert County,7217,13.5,31413,AL,1997,01,033,17
Conecuh County,3833,27.4,22643,AL,1997,01,035,18
Coosa County,1847,16.1,26531,AL,1997,01,037,19
Covington County,7356,19.5,25691,AL,1997,01,039,20
Crenshaw County,2837,20.7,23472,AL,1997,01,041,21
Cullman County,9809,13.0,30705,AL,1997,01,043,22
Dale County,8357,17.3,30476,AL,1997,01,045,23
Dallas County,13902,29.7,23379,AL,1997,01,047,24
DeKalb County,9096,15.5,27948,AL,1997,01,049,25
Elmore County,7688,13.1,35305,AL,1997,01,051,26
Escambia County,7401,20.8,25712,AL,1997,01,053,27
Etowah County,17664,16.9,28747,AL,1997,01,055,28
Fayette County,2851,15.6,28717,AL,1997,01,057,29
Franklin County,4965,16.6,26592,AL,1997,01,059,30
Geneva County,4699,18.7,26009,AL,1997,01,061,31
Greene County,3521,35.5,17602,AL,1997,01,063,32
Hale County,4448,26.6,20704,AL,1997,01,065,33
Henry County,2882,18.1,28276,AL,1997,01,067,34
Houston County,14134,16.4,32086,AL,1997,01,069,35
Jackson County,7632,14.7,30791,AL,1997,01,071,36
Jefferson County,95276,14.5,35464,AL,1997,01,073,37
Lamar County,2902,18.0,26867,AL,1997,01,075,38
Lauderdale County,11222,13.3,33204,AL,1997,01,077,39
Lawrence County,5326,15.7,31609,AL,1997,01,079,40
Lee County,14671,15.0,31821,AL,1997,01,081,41
Limestone County,8231,13.5,35981,AL,1997,01,083,42
Lowndes County,4152,31.5,20285,AL,1997,01,085,43
Macon County,6792,31.9,21469,AL,1997,01,087,44
Madison County,30571,11.0,43239,AL,1997,01,089,45
Marengo County,5630,23.9,25504,AL,1997,01,091,46
Marion County,4896,16.0,26919,AL,1997,01,093,47
Marshall County,12108,15.0,29610,AL,1997,01,095,48
Mobile County,80068,20.1,29943,AL,1997,01,097,49
Monroe County,5239,21.6,28061,AL,1997,01,099,50
Montgomery County,37506,17.6,34569,AL,1997,01,101,51
Morgan County,12460,11.4,36984,AL,1997,01,103,52
Perry County,4509,36.6,18069,AL,1997,01,105,53
Pickens County,4962,23.5,24567,AL,1997,01,107,54
Pike County,6778,24.6,23915,AL,1997,01,109,55
Randolph County,3747,18.6,25882,AL,1997,01,111,56
Russell County,9444,18.6,28141,AL,1997,01,113,57
St. Clair County,8476,13.9,33812,AL,1997,01,115,58
Shelby County,9616,6.8,52450,AL,1997,01,117,59
Sumter County,5090,33.1,19199,AL,1997,01,119,60
Talladega County,14776,19.4,27147,AL,1997,01,121,61
Tallapoosa County,6817,16.9,27804,AL,1997,01,123,62
Tuscaloosa County,26524,17.0,31029,AL,1997,01,125,63
Walker County,10270,14.4,28254,AL,1997,01,127,64
Washington County,3395,19.0,28549,AL,1997,01,129,65
Wilcox County,4858,36.1,17822,AL,1997,01,131,66
Winston County,4074,16.8,25418,AL,1997,01,133,67
Aleutians East Borough,322,14.2,42714,AK,1997,02,013,68
Aleutians West Census Area,269,6.7,44745,AK,1997,02,016,69
Anchorage Borough,23244,9.1,54245,AK,1997,02,020,70
Bethel Census Area,5290,33.1,29628,AK,1997,02,050,71
Bristol Bay Borough,92,8.4,56570,AK,1997,02,060,72
Denali Borough,107,6.1,44065,AK,1997,02,068,73
Dillingham Census Area,1284,28.1,35094,AK,1997,02,070,74
Fairbanks North Star Borough,7507,9.1,46944,AK,1997,02,090,75
Haines Borough,263,11.5,37631,AK,1997,02,100,76
Juneau Borough,1952,6.5,57809,AK,1997,02,110,77
Kenai Peninsula Borough,5481,11.4,47189,AK,1997,02,122,78
